"Neighbourhood","p_value"
"Waterfront Communities-The Island ()",0
"Church-Yonge Corridor ()",0
"Bay Street Corridor ()",0
"Kensington-Chinatown ()",0
"Moss Park ()",0
"Annex ()",0
"West Humber-Clairville ()",0
"Islington-City Centre West ()",0
"York University Heights ()",0
"South Riverdale ()",0
"Milliken ()",0
"Dovercourt-Wallace Emerson-Junction ()",0
"Woburn ()",0
"Clairlea-Birchmount ()",0
"Wexford/Maryvale ()",0
"Bedford Park-Nortown ()",0
"Niagara ()",0
"Willowdale East ()",0
"West Hill ()",0
"Agincourt South-Malvern West ()",0
"Downsview-Roding-CFB ()",0
"St.Andrew-Windfields ()",0
"Dorset Park ()",0
"East End-Danforth ()",0
"Birchcliffe-Cliffside ()",0
"Banbury-Don Mills ()",0
"L'Amoreaux ()",0
"Mount Pleasant West ()",0
"Rouge ()",0
"Rosedale-Moore Park ()",0
"Trinity-Bellwoods ()",0
"University ()",0
"South Parkdale ()",0
"Cabbagetown-South St.James Town ()",0
"Parkwoods-Donalda ()",0
"North St.James Town ()",0
"Yorkdale-Glen Park ()",0
"Bendale ()",0
"Tam O'Shanter-Sullivan ()",0
"Oakridge ()",0.000333333333333333
"Mimico (includes Humber Bay Shores) ()",0.005
"Newtonbrook West ()",0.0386666666666667
"Eglinton East ()",0.0706666666666667
"Steeles ()",0.098
"Roncesvalles ()",0.448
"Agincourt North ()",0.513333333333333
"Stonegate-Queensway ()",0.669333333333333
"Malvern ()",0.789
"Don Valley Village ()",0.893333333333333
"Weston ()",0.717
"Lawrence Park South ()",0.653333333333333
"High Park North ()",0.563
"Newtonbrook East ()",0.564333333333333
"Clanton Park ()",0.446333333333333
"The Beaches ()",0.451333333333333
"Bridle Path-Sunnybrook-York Mills ()",0.369333333333333
"Humber Summit ()",0.33
"Cliffcrest ()",0.249
"Englemount-Lawrence ()",0.067
"High Park-Swansea ()",0.066
"Taylor-Massey ()",0.0586666666666667
"Little Portugal ()",0.052
"Palmerston-Little Italy ()",0.034
"Westminster-Branson ()",0.0316666666666667
"Edenbridge-Humber Valley ()",0.0283333333333333
"Kennedy Park ()",0.0276666666666667
"Greenwood-Coxwell ()",0.018
"Willowridge-Martingrove-Richview ()",0.00333333333333333
"Junction Area ()",0.001
"Scarborough Village ()",0.000333333333333333
"Bayview Village ()",0
"Forest Hill South ()",0
"North Riverdale ()",0
"O'Connor-Parkview ()",0
"Victoria Village ()",0.000333333333333333
"Lansing-Westgate ()",0
"Hillcrest Village ()",0
"Danforth ()",0
"Briar Hill-Belgravia ()",0
"Glenfield-Jane Heights ()",0
"Humbermede ()",0
"Forest Hill North ()",0
"Rockcliffe-Smythe ()",0
"Brookhaven-Amesbury ()",0
"Kingsview Village-The Westway ()",0
"Regent Park ()",0
"Dufferin Grove ()",0
"Wychwood ()",0
"Leaside-Bennington ()",0
"Humewood-Cedarvale ()",0
"Woodbine Corridor ()",0
"Mount Olive-Silverstone-Jamestown ()",0
"Highland Creek ()",0
"Bathurst Manor ()",0
"Oakwood Village ()",0
"Princess-Rosethorn ()",0
"Long Branch ()",0
"New Toronto ()",0
"Mount Pleasant East ()",0
"Bayview Woods-Steeles ()",0
"Playter Estates-Danforth ()",0
"Black Creek ()",0
"Corso Italia-Davenport ()",0
"Willowdale West ()",0
"Henry Farm ()",0
"Yonge-Eglinton ()",0
"Eringate-Centennial-West Deane ()",0
"Danforth East York ()",0
"Ionview ()",0
"Lawrence Park North ()",0
"Casa Loma ()",0
"Markland Wood ()",0
"Thorncliffe Park ()",0
"Kingsway South ()",0
"Alderwood ()",0
"Pelmo Park-Humberlea ()",0
"Humber Heights-Westmount ()",0
"Yonge-St.Clair ()",0
"Runnymede-Bloor West Village ()",0
"Blake-Jones ()",0
"Flemingdon Park ()",0
"Morningside ()",0
"Keelesdale-Eglinton West ()",0
"Mount Dennis ()",0
"Weston-Pellam Park ()",0
"Pleasant View ()",0
"Old East York ()",0
"Centennial Scarborough ()",0
"Thistletown-Beaumond Heights ()",0
"Broadview North ()",0
"Beechborough-Greenbrook ()",0
"Woodbine-Lumsden ()",0
"Etobicoke West Mall ()",0
"Rexdale-Kipling ()",0
"Rustic ()",0
"Caledonia-Fairbank ()",0
"Guildwood ()",0
"Maple Leaf ()",0
"Lambton Baby Point ()",0
"Elms-Old Rexdale ()",0
